App;RED;Type;Latitud;Longitud;Fecha Hora Inicio;Fecha Hora Fin;Estado;Causa de falla;Tamanio de archivo (MB)
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:52:29;2025-06-09 16:52:34;exitoso;;file
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:53:29;2025-06-09 16:53:31;exitoso;;
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 16:53:53;2025-06-09 16:53:54;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 16:54:12;2025-06-09 16:54:18;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 16:54:31;2025-06-09 16:54:33;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 16:54:35;2025-06-09 16:54:40;exitoso;;file
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 16:54:45;2025-06-09 16:54:48;exitoso;;25.58 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 17:04:42;2025-06-09 17:04:43;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 17:04:59;2025-06-09 17:05:04;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 17:05:19;2025-06-09 17:05:21;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 17:05:23;2025-06-09 17:05:27;exitoso;;file
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 17:06:18;2025-06-09 17:06:20;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 17:06:36;2025-06-09 17:06:45;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763216;-66.156801;2025-06-09 17:06:56;2025-06-09 17:06:57;exitoso;;
FB;WIFI;Publicar historia;-17.3763216;-66.156801;2025-06-09 17:07:13;2025-06-09 17:07:18;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763216;-66.156801;2025-06-09 17:07:32;2025-06-09 17:07:34;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763216;-66.156801;2025-06-09 17:07:36;2025-06-09 17:07:42;exitoso;;1.9M
FB;WIFI;Envio de video;-17.3763216;-66.156801;2025-06-09 17:07:47;2025-06-09 17:07:50;exitoso;;25.58 MB
FB;WIFI;Envio de documento;-17.3763216;-66.156801;2025-06-09 17:07:53;2025-06-09 17:08:04;fallido;Time Out;0 MB
FB;WIFI;Carga feed;-17.3763375;-66.1567219;2025-06-10 11:23:16;2025-06-10 11:23:19;fallido;Elemento no encontrado;
FB;WIFI;Carga feed;-17.3763375;-66.1567219;2025-06-10 11:23:40;2025-06-10 11:23:43;exitoso;;
FB;WIFI;Publicar historia;-17.3763375;-66.1567219;2025-06-10 11:23:58;2025-06-10 11:24:02;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763375;-66.1567219;2025-06-10 11:24:09;2025-06-10 11:24:11;exitoso;;
FB;WIFI;Publicar historia;-17.3763375;-66.1567219;2025-06-10 11:24:27;2025-06-10 11:24:32;exitoso;;2 MB
FB;WIFI;Carga feed;-17.3763375;-66.1567219;2025-06-10 11:26:16;2025-06-10 11:26:18;exitoso;;
FB;WIFI;Publicar historia;-17.3763375;-66.1567219;2025-06-10 11:26:33;2025-06-10 11:26:37;exitoso;;2 MB
FB;WIFI;Envio de mensaje;-17.3763375;-66.1567219;2025-06-10 11:26:56;2025-06-10 11:26:58;exitoso;;4 caracteres
FB;WIFI;Envio de foto;-17.3763375;-66.1567219;2025-06-10 11:27:01;2025-06-10 11:27:05;exitoso;;1.9M
FB;WIFI;Envio de video;-17.3763375;-66.1567219;2025-06-10 11:27:08;2025-06-10 11:27:08;fallido;Elemento no encontrado;0 MB
